Link Text,URL,IsDuplicate
"Team Roster","https://www.nba.com/bulls/roster","no"
"Stats","https://www.nba.com/stats/team/1610612741/traditional/","no"
"Team Leaders","https://www.nba.com/bulls/leaders","no"
"Staff Directory","https://www.nba.com/bulls/chicago-bulls-staff-directory","no"
"Career Opportunities","https://www.nba.com/bulls/career-opportunities","no"
"Click Tix","https://am.ticketmaster.com/bulls/?wt.mc_id=NBA_TEAM_CHI_AM_PAGE&_ga=2.52805288.1618705923.1655777842-2053900119.1655777842","no"
"Schedule","https://www.nba.com/bulls/schedule","no"
"Season Tickets","https://www.nba.com/bulls/tickets/seasons","no"
"Single Tickets","https://www.nba.com/bulls/tickets/single","no"
"Group Tickets","https://www.nba.com/bulls/tickets/groups","no"
"Family Ticket Packs","https://www.nba.com/bulls/tickets/family-ticket-packs","no"
"Student Pass","https://www.nba.com/bulls/tickets/student-pass","no"
"Print Schedule","https://cdn.nba.com/teams/uploads/sites/1610612741/2023/08/Bulls_2324_Schedule_230817.pdf","no"
"Windy City","https://windycity.gleague.nba.com/tickets/","no"
"Jerseys","https://shop.bulls.com/collections/jerseys","no"
"Hats","https://shop.bulls.com/collections/hats","no"
"Men's","https://shop.bulls.com/collections/mens-apparel","no"
"Women's","https://shop.bulls.com/collections/womens-apparel","no"
"Kids","https://shop.bulls.com/collections/youth-shirts","no"
"Madhouse Team Store","http://www.madhouseteamstore.com/","no"
"Scoreboard Messages","https://www.nba.com/bulls/community/fan-experiences","no"
"50/50 Raffle","https://chicagobullsraffle.5050central.com/","no"
"Athletico Rebound of the Game","https://www.nba.com/bulls/partners/athletico-rebound-of-the-game","no"
"Annual Report","https://chibullsdigital.com/community/docs/CR_Annual_Report22_WEB.pdf","no"
"Seating Charts","http://www.unitedcenter.com/venue/seating-charts/","no"
"Directions / Parking","http://www.unitedcenter.com/venue/directions-parking/","no"
"Rideshare","http://www.unitedcenter.com/venue/rideshare/","no"
"Dining/Catering","http://www.unitedcenter.com/venue/dining/","no"
"Sam Smith","https://www.nba.com/bulls/sam-smith","no"
"Chuck Checks In","https://www.nba.com/bulls/chuck-checks-in","no"
"Partner News","https://www.nba.com/bulls/partner-news","no"
"Injury Report","https://www.nba.com/bulls/injury-report","no"
"Game Notes","https://www.nba.com/bulls/game-notes","no"
"2022?23 Media Guide","https://chibullsdigital.com/mediaGuide/2022_ChicagoBulls_MG_NBA_HI.pdf","no"
"","https://www.facebook.com/chicagobulls","no"
"","https://twitter.com/chicagobulls","no"
"","https://www.instagram.com/chicagobulls/","no"
"","https://www.youtube.com/chicagobulls","no"
"","https://www.tiktok.com/@chicagobulls","no"
"Privacy Policy","https://www.nba.com/privacy-policy","no"
"Terms of Use","https://www.nba.com/termsofuse","no"
"Customer Support","https://support.watch.nba.com/hc/en-us","no"
"Accessibility and Closed Captions","https://www.nba.com/accessibility","no"
"Cookie Policy","https://www.nba.com/cookiepolicy","no"
"EEA/UK Privacy Statement","https://www.nba.com/eeaukprivacy","no"
"Brazil Privacy Statement","https://www.nba.com/brazilprivacy","no"
"California Consumer Privacy Statement","https://www.nba.com/caprivacy","no"
"Colorado Consumer Privacy Statement","https://www.nba.com/coprivacy","no"
"Accessibility page.","https://www.nba.com/accessibility","yes"
